Latitude,Longitude,Height,Concentration,Wind Velocity,Wind Angle
45.52984,10.174182,0,17,0.2,7
45.52984,10.174182,0,12,0.2,7
45.52984,10.174182,0,11,0.2,7
45.52984,10.174182,0,13.1,0.5,270
45.52984,10.174182,0,10079.5,0.5,270
45.52984,10.174182,0,165631.6,0.5,270
45.52984,10.174182,0,200027.9,0.5,270
45.52984,10.174182,0,201145.8,0.5,270
45.52984,10.174182,0,190931.8,0.5,270
45.52984,10.174182,0,189511.1,0.5,270
45.52984,10.174182,0,168248.2,0.5,270
45.52984,10.174182,0,112993.6,0.5,270
45.52984,10.174182,0,51309.7,0.5,270
45.52984,10.174182,0,21238.3,0.5,270
45.52984,10.174182,0,8686.3,0.5,270
45.52984,10.174182,0,3978.3,0.5,270
45.52984,10.174182,0,2145,0.5,270
45.52984,10.174182,0,1377.3,0.5,270
45.52984,10.174182,0,931.4,0.5,270
45.52984,10.174182,0,743.1,0.5,270
45.52984,10.174182,0,619.9,0.5,270
45.52984,10.174182,0,520.4,0.5,270
45.52984,10.174182,0,429.7,0.5,270
45.52984,10.174182,0,385.6,0.5,270
45.52984,10.174182,0,330,0.5,270
45.52984,10.174182,0,280.4,0.5,270
45.52984,10.174182,0,254,0.5,270
45.52984,10.174182,0,218.8,0.5,270
45.52984,10.174182,0,145.7,0.5,270
45.52984,10.174182,0,132.5,0.5,270
45.52984,10.174182,0,115,0.5,270
45.52984,10.174182,0,106.6,0.5,270
45.52984,10.174182,0,91.7,0.5,270
45.52984,10.174182,0,79.2,0.5,270
45.52984,10.174182,0,68.3,0.5,270
45.52984,10.174182,0,60.7,0.5,270
45.52984,10.174182,0,54.3,0.5,270
45.52984,10.174182,0,49.6,0.5,270
45.52984,10.174182,0,44,0.5,270
45.52984,10.174182,0,40.5,0.5,270
45.52984,10.174182,0,37,0.5,270
45.52984,10.174182,0,34.8,0.5,270
45.52984,10.174182,0,30.2,0.5,270
45.52984,10.174182,0,27,0.5,270
45.52984,10.174182,0,25.4,0.5,270
45.52984,10.174182,0,22.1,0.5,270
45.52984,10.174182,0,21,0.5,270
45.52984,10.174182,0,19.5,0.5,270
45.52984,10.174182,0,18.3,0.5,270
45.52984,10.174182,0,16.3,0.5,270
45.52984,10.174182,0,14.6,0.5,270
45.52984,10.174182,0,13.6,0.5,270
45.52984,10.174182,0,12.3,0.5,270
45.52984,10.174182,0,11.4,0.5,270
45.52984,10.174182,0,11.3,0.5,270
45.52984,10.174182,0,11.6,0.5,270
45.52984,10.174182,0,12.8,0.5,270
45.52984,10.174182,0,12.2,0.5,270
45.52984,10.174182,0,12,0.5,270
45.52984,10.174182,0,11.6,0.5,270
45.52984,10.174182,0,11.4,0.5,270
45.52984,10.174182,0,10.8,0.5,270
45.52984,10.174182,0,10.3,0.5,270
45.52984,10.174182,0,10.1,0.5,270
45.52984,10.174182,0,10.1,0.5,270
45.52984,10.174182,0,10.2,0.5,270
45.52984,10.174182,0,10.3,0.5,270
45.52984,10.174182,0,11.6,0.5,270
