Latitude,Longitude,Height,Stability,Flow-Rate
45.529830,10.174186,0.000000,0,315092619559498253204365044054970175770996812555088292334729254700539540162505076421181694785998391835187146506841604608667746230298858194425307421840553869195046708553756536208027447434641587935641600.000000
45.529830,10.174186,0.000000,1,inf
45.529830,10.174186,0.000000,2,inf
45.529830,10.174186,0.000000,3,inf
45.529830,10.174186,0.000000,4,inf
45.529830,10.174186,0.000000,5,inf
45.529835,10.174183,0.000000,0,352251075033576291351161734817517399131257946063555880692766294377092238923686521643601934158976027674089445791225872971202560.000000
45.529835,10.174183,0.000000,1,910766460071858095411050411580011102983351427866996875310542640155728115735113771591239273190066058612343546873467747120785397122352371148803360384781315859882088714642853686266817095154130481879846134885762515056746675683941194404460683451114027774127852762629895617782638570423451648.000000
45.529835,10.174183,0.000000,2,inf
45.529835,10.174183,0.000000,3,inf
45.529835,10.174183,0.000000,4,inf
45.529835,10.174183,0.000000,5,inf
45.529840,10.174182,0.000000,0,1820208135840986963198073216388321171752886883798336376505908752023552.000000
45.529840,10.174182,0.000000,1,4664878184004440183906478184394734470256613157791668157225382627766021030726934535185023397599927595828010387204675159988307541546177345602641128962352218112.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,880902867880263905051607569926266905487682731596615885516256764231680.000000
45.529840,10.174182,0.000000,1,2257601474077015216086690698439100612308410397592656461468135439516443639703807738174769371496943140073808410503901411633830127549566488741335690910933975040.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,2525903803479872642717336123762796815734491778425046636232418753773568.000000
45.529840,10.174182,0.000000,1,6473453950530226144793878520284235345645646467565258915826182821083063416472785096853338805278746788860638099117959561460195809754610729984067578451833389056.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,3582013871601514390177403139768640393141495559414272242853641734586368.000000
45.529840,10.174182,0.000000,1,9180081132158469853934217414282644830225672773004738465757810082733685932410682915496539967799473026291520014977133461813845940833146530251334073457978638336.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,3577147004928142762159174532017973563944472375399072200340460420464640.000000
45.529840,10.174182,0.000000,1,9167608195837602438135262862572124631809670174451895747434037722344693317944395251930084760981831320791829483897006143873968821613573148977501464306791743488.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,2730312203761481019482937649290803642009465507063448421786033946886144.000000
45.529840,10.174182,0.000000,1,6997317276006661419078180527077538002356561506645866157443839077746865112676202446834568355591402668268176370660029522145644096037511707654929349432890621952.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,1859143069227960370467787294865870394915829143497232621296139810897920.000000
45.529840,10.174182,0.000000,1,4764661674571380272443756765069186922232395126186652518219404934943184324181102939754687224935402089509641829081038224949446351114928188627280439498088906752.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,1270252201749993954947953581743505946456159059023971334228371621019648.000000
45.529840,10.174182,0.000000,1,3255436379746414958241013254698188835094588311584136149802593375190243007659691139814374385660176802363962039414515279082035439518829229736761140278938566656.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
