Latitude,Longitude,Height,Stability,Sensor Measurement,Forward-Model-Concentration
45.529840,10.174182,0.000000,1,0.125856,0.000000
45.529840,10.174182,0.000000,2,0.125856,0.000000
45.529840,10.174182,0.000000,3,0.125856,0.000000
45.529840,10.174182,0.000000,4,0.125856,0.000000
45.529840,10.174182,0.000000,5,0.125856,0.000000
45.529840,10.174182,0.000000,0,0.159120,0.000000
45.529840,10.174182,0.000000,1,0.159120,0.000000
45.529840,10.174182,0.000000,2,0.159120,0.000000
45.529840,10.174182,0.000000,3,0.159120,0.000000
45.529840,10.174182,0.000000,4,0.159120,0.000000
45.529840,10.174182,0.000000,5,0.159120,0.000000
45.529840,10.174182,0.000000,0,0.292176,0.000000
45.529840,10.174182,0.000000,1,0.292176,0.000000
45.529840,10.174182,0.000000,2,0.292176,0.000000
45.529840,10.174182,0.000000,3,0.292176,0.000000
45.529840,10.174182,0.000000,4,0.292176,0.000000
45.529840,10.174182,0.000000,5,0.292176,0.000000
45.529840,10.174182,0.000000,0,0.375552,0.000000
45.529840,10.174182,0.000000,1,0.375552,0.000000
45.529840,10.174182,0.000000,2,0.375552,0.000000
45.529840,10.174182,0.000000,3,0.375552,0.000000
45.529840,10.174182,0.000000,4,0.375552,0.000000
45.529840,10.174182,0.000000,5,0.375552,0.000000
45.529840,10.174182,0.000000,0,0.353664,0.000000
45.529840,10.174182,0.000000,1,0.353664,0.000000
45.529840,10.174182,0.000000,2,0.353664,0.000000
45.529840,10.174182,0.000000,3,0.353664,0.000000
45.529840,10.174182,0.000000,4,0.353664,0.000000
45.529840,10.174182,0.000000,5,0.353664,0.000000
45.529840,10.174182,0.000000,0,0.214920,0.000000
45.529840,10.174182,0.000000,1,0.214920,0.000000
45.529840,10.174182,0.000000,2,0.214920,0.000000
45.529840,10.174182,0.000000,3,0.214920,0.000000
45.529840,10.174182,0.000000,4,0.214920,0.000000
45.529840,10.174182,0.000000,5,0.214920,0.000000
45.529840,10.174182,0.000000,0,0.121608,0.000000
45.529840,10.174182,0.000000,1,0.121608,0.000000
45.529840,10.174182,0.000000,2,0.121608,0.000000
45.529840,10.174182,0.000000,3,0.121608,0.000000
45.529840,10.174182,0.000000,4,0.121608,0.000000
45.529840,10.174182,0.000000,5,0.121608,0.000000
45.529840,10.174182,0.000000,0,0.063144,0.000000
45.529840,10.174182,0.000000,1,0.063144,0.000000
45.529840,10.174182,0.000000,2,0.063144,0.000000
45.529840,10.174182,0.000000,3,0.063144,0.000000
45.529840,10.174182,0.000000,4,0.063144,0.000000
45.529840,10.174182,0.000000,5,0.063144,0.000000
45.529840,10.174182,0.000000,0,0.031968,0.000000
45.529840,10.174182,0.000000,1,0.031968,0.000000
45.529840,10.174182,0.000000,2,0.031968,0.000000
45.529840,10.174182,0.000000,3,0.031968,0.000000
45.529840,10.174182,0.000000,4,0.031968,0.000000
45.529840,10.174182,0.000000,5,0.031968,0.000000
